199604,93.60,-358
200881,46.99,636
201740,69.85,-418
202580,71.51,-20
203619,57.69,201
204377,79.16,-282
205297,65.29,161
206336,57.69,121
207254,65.43,-123
208292,57.75,122
208991,85.84,-340
209851,69.85,160
211229,43.51,520
212047,73.35,-561
213048,60.00,182
213787,81.19,-261
214824,57.80,299
215745,65.22,-118
217442,35.34,778
218221,77.02,-919
219201,61.22,201
219919,83.57,-262
220520,99.83,-117
221498,61.35,377
222257,79.05,-219
223015,79.16,-1
223974,62.57,201
224573,100.17,-360
226452,31.93,1280
227391,63.90,-940
228331,63.90,0
228909,103.63,-360
230007,54.64,519
230987,61.22,-118
232027,57.75,59
232885,69.93,-181
233964,55.56,222
235560,37.59,516
236360,75.00,-796
237360,60.00,200
238338,61.35,-22
239319,61.22,2
240615,46.26,317
241795,50.85,-117
242753,62.63,-222
243973,49.22,261
244890,65.36,-301
245731,71.43,-78
246988,47.69,418
248006,58.94,-240
248707,85.59,-317
249945,48.47,537
251024,55.61,-159
252222,50.13,118
253261,57.75,-158
254300,57.75,0
255338,57.75,0
256399,56.60,21
257498,54.60,39
258155,91.19,-441
259214,56.66,401
260234,58.88,-40
261352,53.67,99
262472,53.57,2
263489,58.94,-102
264969,40.57,461
267645,22.41,1198
268464,73.26,-1858
269523,56.66,240
270222,85.84,-360
271063,71.43,141
272339,46.99,437
273358,58.88,-258
274597,48.43,220
275696,54.64,-141
276616,65.15,-177
277454,71.68,-84
278413,62.50,123
279191,77.12,-182
280230,57.75,261
281310,55.61,40
282289,61.29,-100
283408,53.57,141
284486,55.71,-43
285486,59.94,-76
286605,53.67,117
287623,58.94,-100
288581,62.57,-59
289640,56.71,99
290580,63.83,-118
291599,58.82,80
292598,60.12,-22
293656,56.66,61
294734,55.71,18
295514,76.82,-296
296651,52.77,356
297613,62.43,-176
298551,63.97,-23
299449,66.74,-39
300268,73.26,-80
301347,55.61,260
302307,62.57,-120
303484,50.93,219
304324,71.43,-338
305344,58.88,179
306641,46.22,279
307721,55.56,-218
308799,55.71,-3
309619,73.17,-257
310657,57.75,219
311336,88.37,-360
312394,56.71,379
312873,125.26,-579
314693,32.97,1341
315770,55.71,-743
316710,63.90,-138
317589,68.18,-59
318610,58.82,140
319388,77.12,-242
320505,53.67,340
321506,60.00,-118
322624,53.62,119
323344,83.45,-400
324662,45.49,600
325700,57.80,-281
326599,66.82,-140
327858,47.62,362
